"OrphaCode","Name","DisorderGroup","gene_count","onset_count","inheritance_count","avg_prevalence"
362,NON RARE IN EUROPE: Glucose-6-phosphate-dehydrogenase deficiency,Disorder,0,0,0,
364,Glycogen storage disease due to glucose-6-phosphatase deficiency,Disorder,0,1,1,0.5
365,Glycogen storage disease due to acid maltase deficiency,Disorder,0,1,1,2.28
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Disorder,1,1,1,0.5
367,Glycogen storage disease due to glycogen branching enzyme deficiency,Disorder,0,1,1,0.05
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,Disorder,1,1,1,0.0175
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Disorder,1,1,1,2.3666666666666667
370,Glycogen storage disease due to phosphorylase kinase deficiency,Group of disorders,0,1,1,0.45
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Disorder,1,1,1,50.0
373,Simpson-Golabi-Behmel syndrome,Disorder,2,1,1,125.0
374,Goldenhar syndrome,Disorder,0,0,0,
375,Anti-glomerular basement membrane disease,Disorder,0,1,1,0.1038
376,Gordon syndrome,Disorder,1,1,1,0.0
377,Gorlin syndrome,Disorder,3,1,1,1.801
378,NON RARE IN EUROPE: Sjögren syndrome,Disorder,0,0,0,
379,Chronic granulomatous disease,Disorder,6,1,1,0.24333333333333335
380,Greig cephalopolysyndactyly syndrome,Disorder,1,1,1,0.0
381,Griscelli syndrome,Disorder,0,1,1,75.0
382,Guanidinoacetate methyltransferase deficiency,Disorder,1,1,1,40.0
383,X-linked mixed deafness with perilymphatic gusher,Subtype of disorder,0,0,0,
384,Huriez syndrome,Disorder,1,1,1,8.0
385,Neurodegeneration with brain iron accumulation,Group of disorders,0,1,1,0.2
386,Hepatic cystic hamartoma,Disorder,0,0,0,
387,NON RARE IN EUROPE: Hidradenitis suppurativa,Disorder,0,0,0,
388,Hirschsprung disease,Disorder,14,1,1,16.566666666666666
389,Langerhans cell histiocytosis,Disorder,3,1,1,1.5
390,Histoplasmosis,Disorder,0,0,0,
391,Classic Hodgkin lymphoma,Disorder,0,1,1,2.9204999999999997
392,Holt-Oram syndrome,Disorder,1,1,1,0.5499999999999999
393,"46,XX testicular difference of sex development",Disorder,5,1,1,2.5
394,Homocystinuria due to cystathionine beta-synthase deficiency,Disorder,1,1,1,9.125555555555556
395,Homocystinuria due to methylene tetrahydrofolate reductase deficiency,Disorder,1,1,1,0.0
396,Chronic hiccup,Disorder,0,1,1,1.0
397,Giant cell arteritis,Disorder,4,1,1,9.76875
399,Huntington disease,Disorder,2,1,1,3.4055
400,Cystic echinococcosis,Disorder,0,1,1,0.5
401,Hymenolepiasis,Disorder,0,1,1,0.0
403,Familial hyperaldosteronism type I,Disorder,2,1,1,0.0
404,Familial hyperaldosteronism type II,Disorder,1,1,1,0.0
405,Familial hypocalciuric hypercalcemia,Disorder,0,1,1,0.0
406,NON RARE IN EUROPE: Heterozygous familial hypercholesterolemia,Disorder,0,0,0,
407,Glycine encephalopathy,Disorder,0,1,1,2.31125
408,Isolated glycerol kinase deficiency,Disorder,0,1,1,0.0
409,Hyperkeratosis lenticularis perstans,Disorder,0,1,1,0.0
411,Hyperlipoproteinemia type 1,Disorder,0,0,0,
412,Dysbetalipoproteinemia,Disorder,1,1,1,8.9
413,NON RARE IN EUROPE: Hyperlipoproteinemia type 4,Disorder,0,0,0,
414,Gyrate atrophy of choroid and retina,Disorder,1,1,1,67.33333333333333
415,Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome,Disorder,1,1,1,27.75
416,Primary hyperoxaluria,Disorder,0,1,1,0.06666666666666667
417,Neonatal severe primary hyperparathyroidism,Disorder,2,1,1,0.0
418,Congenital adrenal hyperplasia,Group of disorders,0,1,1,9.107368421052632
419,Hyperprolinemia type 1,Disorder,1,1,1,0.0
422,Idiopathic/heritable pulmonary arterial hypertension,Disorder,0,1,1,1.4471428571428573
423,Malignant hyperthermia of anesthesia,Disorder,2,1,1,0.0
424,Familial hyperthyroidism due to mutations in TSH receptor,Disorder,1,1,1,14.0
425,Apolipoprotein A-I deficiency,Disorder,2,1,1,10.0
426,NON RARE IN EUROPE: Familial hypobetalipoproteinemia,Disorder,0,0,0,
427,Familial hypoaldosteronism,Disorder,0,1,1,0.0
428,Autosomal dominant hypocalcemia,Subtype of disorder,2,1,1,1.3536666666666666
429,Hypochondroplasia,Disorder,1,1,1,3.0303
430,OBSOLETE: Hypodermyiasis,Disorder,0,0,0,
431,Ichthyosis-male hypogonadism syndrome,Disorder,0,0,0,
432,Normosmic congenital hypogonadotropic hypogonadism,Subtype of disorder,18,1,1,
435,OBSOLETE: Ito hypomelanosis,Disorder,0,0,0,
436,Hypophosphatasia,Disorder,0,1,1,0.0104
437,Hypophosphatemic rickets,Group of disorders,0,1,1,0.0
439,Isolated right ventricular hypoplasia,Disorder,0,1,1,0.0
440,OBSOLETE: Familial hypospadias,Disorder,0,0,0,
441,Pure autonomic failure,Disorder,0,1,1,0.0
442,Congenital hypothyroidism,Group of disorders,0,1,1,31.259517021276597
444,Marie Unna hereditary hypotrichosis,Disorder,2,1,1,0.0
446,Neonatal hemochromatosis,Disorder,0,1,1,17.5
